"year","em","sector","month","global_total","units"
2000,"CO2","AGR",1,0,"kt"
2000,"CO2","AGR",2,0,"kt"
2000,"CO2","AGR",3,0,"kt"
2000,"CO2","AGR",4,0,"kt"
2000,"CO2","AGR",5,0,"kt"
2000,"CO2","AGR",6,0,"kt"
2000,"CO2","AGR",7,0,"kt"
2000,"CO2","AGR",8,0,"kt"
2000,"CO2","AGR",9,0,"kt"
2000,"CO2","AGR",10,0,"kt"
2000,"CO2","AGR",11,0,"kt"
2000,"CO2","AGR",12,0,"kt"
2000,"CO2","ENE",1,990751.913291177,"kt"
2000,"CO2","ENE",2,849085.897128259,"kt"
2000,"CO2","ENE",3,907633.434931606,"kt"
2000,"CO2","ENE",4,850847.990712319,"kt"
2000,"CO2","ENE",5,873690.212961178,"kt"
2000,"CO2","ENE",6,857295.703639028,"kt"
2000,"CO2","ENE",7,904020.975207435,"kt"
2000,"CO2","ENE",8,898348.997156441,"kt"
2000,"CO2","ENE",9,842839.083801375,"kt"
2000,"CO2","ENE",10,880592.348488995,"kt"
2000,"CO2","ENE",11,876479.428440854,"kt"
2000,"CO2","ENE",12,971208.59641535,"kt"
2000,"CO2","IND",1,518542.915095804,"kt"
2000,"CO2","IND",2,470386.33131844,"kt"
2000,"CO2","IND",3,485975.232101796,"kt"
2000,"CO2","IND",4,474637.873106976,"kt"
2000,"CO2","IND",5,442728.586913382,"kt"
2000,"CO2","IND",6,415942.909352842,"kt"
2000,"CO2","IND",7,412402.855640413,"kt"
2000,"CO2","IND",8,429807.672997937,"kt"
2000,"CO2","IND",9,411603.647957282,"kt"
2000,"CO2","IND",10,460133.404270906,"kt"
2000,"CO2","IND",11,472468.242409196,"kt"
2000,"CO2","IND",12,520784.866816844,"kt"
2000,"CO2","TRA",1,385744.439069279,"kt"
2000,"CO2","TRA",2,348414.332062575,"kt"
2000,"CO2","TRA",3,385744.439069279,"kt"
2000,"CO2","TRA",4,373301.070067044,"kt"
2000,"CO2","TRA",5,385744.439069279,"kt"
2000,"CO2","TRA",6,373301.070067044,"kt"
2000,"CO2","TRA",7,385744.439069279,"kt"
2000,"CO2","TRA",8,385744.439069279,"kt"
2000,"CO2","TRA",9,373301.070067044,"kt"
2000,"CO2","TRA",10,385744.439069279,"kt"
2000,"CO2","TRA",11,373301.070067044,"kt"
2000,"CO2","TRA",12,385744.439069279,"kt"
2000,"CO2","SLV",1,3635.39361967288,"kt"
2000,"CO2","SLV",2,3283.58133389808,"kt"
2000,"CO2","SLV",3,3635.39361967288,"kt"
2000,"CO2","SLV",4,3518.12285774795,"kt"
2000,"CO2","SLV",5,3635.39361967288,"kt"
2000,"CO2","SLV",6,3518.12285774795,"kt"
2000,"CO2","SLV",7,3635.39361967288,"kt"
2000,"CO2","SLV",8,3635.39361967288,"kt"
2000,"CO2","SLV",9,3518.12285774795,"kt"
2000,"CO2","SLV",10,3635.39361967288,"kt"
2000,"CO2","SLV",11,3518.12285774795,"kt"
2000,"CO2","SLV",12,3635.39361967288,"kt"
2000,"CO2","WST",1,6389.84674005375,"kt"
2000,"CO2","WST",2,5771.47447488726,"kt"
2000,"CO2","WST",3,6389.84674005375,"kt"
2000,"CO2","WST",4,6183.72265166492,"kt"
2000,"CO2","WST",5,6389.84674005375,"kt"
2000,"CO2","WST",6,6183.72265166492,"kt"
2000,"CO2","WST",7,6389.84674005375,"kt"
2000,"CO2","WST",8,6389.84674005375,"kt"
2000,"CO2","WST",9,6183.72265166492,"kt"
2000,"CO2","WST",10,6389.84674005375,"kt"
2000,"CO2","WST",11,6183.72265166492,"kt"
2000,"CO2","WST",12,6389.84674005375,"kt"
2000,"CO2","SHP",1,64870.6927509036,"kt"
2000,"CO2","SHP",2,55669.8408187416,"kt"
2000,"CO2","SHP",3,68040.2023316452,"kt"
2000,"CO2","SHP",4,65321.3827590488,"kt"
2000,"CO2","SHP",5,68681.9293039549,"kt"
2000,"CO2","SHP",6,63879.2321397958,"kt"
2000,"CO2","SHP",7,70634.3025539582,"kt"
2000,"CO2","SHP",8,71606.3590326298,"kt"
2000,"CO2","SHP",9,68173.8351166968,"kt"
2000,"CO2","SHP",10,73286.0362316244,"kt"
2000,"CO2","SHP",11,71351.6834369939,"kt"
2000,"CO2","SHP",12,72084.8690033791,"kt"
2000,"CO2","RCO",1,428745.426067964,"kt"
2000,"CO2","RCO",2,330843.457303504,"kt"
2000,"CO2","RCO",3,299916.229027238,"kt"
2000,"CO2","RCO",4,193516.04531879,"kt"
2000,"CO2","RCO",5,166214.24806411,"kt"
2000,"CO2","RCO",6,156010.000036404,"kt"
2000,"CO2","RCO",7,164963.95287087,"kt"
2000,"CO2","RCO",8,164284.047955923,"kt"
2000,"CO2","RCO",9,156275.037794976,"kt"
2000,"CO2","RCO",10,188349.023795067,"kt"
2000,"CO2","RCO",11,260986.921861963,"kt"
2000,"CO2","RCO",12,402828.001361469,"kt"
2001,"CO2","AGR",1,0,"kt"
2001,"CO2","AGR",2,0,"kt"
2001,"CO2","AGR",3,0,"kt"
2001,"CO2","AGR",4,0,"kt"
2001,"CO2","AGR",5,0,"kt"
2001,"CO2","AGR",6,0,"kt"
2001,"CO2","AGR",7,0,"kt"
2001,"CO2","AGR",8,0,"kt"
2001,"CO2","AGR",9,0,"kt"
2001,"CO2","AGR",10,0,"kt"
2001,"CO2","AGR",11,0,"kt"
2001,"CO2","AGR",12,0,"kt"
2001,"CO2","ENE",1,999541.934077514,"kt"
2001,"CO2","ENE",2,857759.511627506,"kt"
2001,"CO2","ENE",3,917541.489111145,"kt"
2001,"CO2","ENE",4,860642.981591089,"kt"
2001,"CO2","ENE",5,882875.889759002,"kt"
2001,"CO2","ENE",6,865604.779050587,"kt"
2001,"CO2","ENE",7,911992.718064096,"kt"
2001,"CO2","ENE",8,906359.589205904,"kt"
2001,"CO2","ENE",9,851670.73768406,"kt"
2001,"CO2","ENE",10,890246.586346794,"kt"
2001,"CO2","ENE",11,885722.08253867,"kt"
2001,"CO2","ENE",12,979859.779339586,"kt"
2001,"CO2","IND",1,517600.678519419,"kt"
2001,"CO2","IND",2,469504.196700189,"kt"
2001,"CO2","IND",3,485560.486619066,"kt"
2001,"CO2","IND",4,474169.901739334,"kt"
2001,"CO2","IND",5,443019.046908011,"kt"
2001,"CO2","IND",6,416429.283717599,"kt"
2001,"CO2","IND",7,413186.394263448,"kt"
2001,"CO2","IND",8,430310.259841519,"kt"
2001,"CO2","IND",9,412156.62709349,"kt"
2001,"CO2","IND",10,460142.912486082,"kt"
2001,"CO2","IND",11,472033.57342728,"kt"
2001,"CO2","IND",12,519808.217775209,"kt"
2001,"CO2","TRA",1,392326.605615092,"kt"
2001,"CO2","TRA",2,354359.514749115,"kt"
2001,"CO2","TRA",3,392326.605615092,"kt"
2001,"CO2","TRA",4,379670.908659767,"kt"
2001,"CO2","TRA",5,392326.605615092,"kt"
2001,"CO2","TRA",6,379670.908659767,"kt"
2001,"CO2","TRA",7,392326.605615092,"kt"
2001,"CO2","TRA",8,392326.605615092,"kt"
2001,"CO2","TRA",9,379670.908659767,"kt"
2001,"CO2","TRA",10,392326.605615092,"kt"
2001,"CO2","TRA",11,379670.908659767,"kt"
2001,"CO2","TRA",12,392326.605615092,"kt"
2001,"CO2","SLV",1,3695.51373248493,"kt"
2001,"CO2","SLV",2,3337.88337127671,"kt"
2001,"CO2","SLV",3,3695.51373248493,"kt"
2001,"CO2","SLV",4,3576.30361208219,"kt"
2001,"CO2","SLV",5,3695.51373248493,"kt"
2001,"CO2","SLV",6,3576.30361208219,"kt"
2001,"CO2","SLV",7,3695.51373248493,"kt"
2001,"CO2","SLV",8,3695.51373248493,"kt"
2001,"CO2","SLV",9,3576.30361208219,"kt"
2001,"CO2","SLV",10,3695.51373248493,"kt"
2001,"CO2","SLV",11,3576.30361208219,"kt"
2001,"CO2","SLV",12,3695.51373248493,"kt"
2001,"CO2","WST",1,6652.55461556859,"kt"
2001,"CO2","WST",2,6008.75900761034,"kt"
2001,"CO2","WST",3,6652.55461556859,"kt"
2001,"CO2","WST",4,6437.95607958251,"kt"
2001,"CO2","WST",5,6652.55461556859,"kt"
2001,"CO2","WST",6,6437.95607958251,"kt"
2001,"CO2","WST",7,6652.55461556859,"kt"
2001,"CO2","WST",8,6652.55461556859,"kt"
2001,"CO2","WST",9,6437.95607958251,"kt"
2001,"CO2","WST",10,6652.55461556859,"kt"
2001,"CO2","WST",11,6437.95607958251,"kt"
2001,"CO2","WST",12,6652.55461556859,"kt"
2001,"CO2","SHP",1,66217.6078754398,"kt"
2001,"CO2","SHP",2,56825.7179552355,"kt"
2001,"CO2","SHP",3,69452.926224527,"kt"
2001,"CO2","SHP",4,66677.6555944819,"kt"
2001,"CO2","SHP",5,70107.9774227416,"kt"
2001,"CO2","SHP",6,65205.5614923007,"kt"
2001,"CO2","SHP",7,72100.8879469385,"kt"
2001,"CO2","SHP",8,73093.1273081647,"kt"
2001,"CO2","SHP",9,69589.3336372523,"kt"
2001,"CO2","SHP",10,74807.6797725176,"kt"
2001,"CO2","SHP",11,72833.1638637782,"kt"
2001,"CO2","SHP",12,73581.5726178092,"kt"
2001,"CO2","RCO",1,436511.117572263,"kt"
2001,"CO2","RCO",2,336439.111519111,"kt"
2001,"CO2","RCO",3,304428.39639986,"kt"
2001,"CO2","RCO",4,196393.568725433,"kt"
2001,"CO2","RCO",5,168385.117196987,"kt"
2001,"CO2","RCO",6,158059.912222664,"kt"
2001,"CO2","RCO",7,167150.240340995,"kt"
2001,"CO2","RCO",8,166441.252157354,"kt"
2001,"CO2","RCO",9,158302.04797462,"kt"
2001,"CO2","RCO",10,190986.458117754,"kt"
2001,"CO2","RCO",11,265429.130712416,"kt"
2001,"CO2","RCO",12,410012.128790959,"kt"
2002,"CO2","AGR",1,0,"kt"
2002,"CO2","AGR",2,0,"kt"
2002,"CO2","AGR",3,0,"kt"
2002,"CO2","AGR",4,0,"kt"
2002,"CO2","AGR",5,0,"kt"
2002,"CO2","AGR",6,0,"kt"
2002,"CO2","AGR",7,0,"kt"
2002,"CO2","AGR",8,0,"kt"
2002,"CO2","AGR",9,0,"kt"
2002,"CO2","AGR",10,0,"kt"
2002,"CO2","AGR",11,0,"kt"
2002,"CO2","AGR",12,0,"kt"
2002,"CO2","ENE",1,1028390.5754896,"kt"
2002,"CO2","ENE",2,882688.48051075,"kt"
2002,"CO2","ENE",3,944668.071912002,"kt"
2002,"CO2","ENE",4,886657.816867101,"kt"
2002,"CO2","ENE",5,910057.584703097,"kt"
2002,"CO2","ENE",6,892278.083288413,"kt"
