"year","em","month","sector","global_total","units"
2015,"CO2",1,"AGR",0,"kt"
2015,"CO2",2,"AGR",0,"kt"
2015,"CO2",3,"AGR",0,"kt"
2015,"CO2",4,"AGR",0,"kt"
2015,"CO2",5,"AGR",0,"kt"
2015,"CO2",6,"AGR",0,"kt"
2015,"CO2",7,"AGR",0,"kt"
2015,"CO2",8,"AGR",0,"kt"
2015,"CO2",9,"AGR",0,"kt"
2015,"CO2",10,"AGR",0,"kt"
2015,"CO2",11,"AGR",0,"kt"
2015,"CO2",12,"AGR",0,"kt"
2015,"CO2",1,"ENE",1381245.27632234,"kt"
2015,"CO2",2,"ENE",1207505.20355118,"kt"
2015,"CO2",3,"ENE",1306748.97918086,"kt"
2015,"CO2",4,"ENE",1240872.80309268,"kt"
2015,"CO2",5,"ENE",1274113.86761836,"kt"
2015,"CO2",6,"ENE",1239064.96596731,"kt"
2015,"CO2",7,"ENE",1294343.567434,"kt"
2015,"CO2",8,"ENE",1289754.34939571,"kt"
2015,"CO2",9,"ENE",1228244.57530596,"kt"
2015,"CO2",10,"ENE",1282131.11413969,"kt"
2015,"CO2",11,"ENE",1264289.21852567,"kt"
2015,"CO2",12,"ENE",1362848.14207489,"kt"
2015,"CO2",1,"IND",823002.42567662,"kt"
2015,"CO2",2,"IND",746160.154547624,"kt"
2015,"CO2",3,"IND",780769.948632841,"kt"
2015,"CO2",4,"IND",761590.517480928,"kt"
2015,"CO2",5,"IND",725179.882355654,"kt"
2015,"CO2",6,"IND",685856.93555502,"kt"
2015,"CO2",7,"IND",686050.865027269,"kt"
2015,"CO2",8,"IND",708718.833406854,"kt"
2015,"CO2",9,"IND",679850.23933168,"kt"
2015,"CO2",10,"IND",747847.85073524,"kt"
2015,"CO2",11,"IND",758587.169369258,"kt"
2015,"CO2",12,"IND",826105.885392012,"kt"
2015,"CO2",1,"TRA",517406.15129123,"kt"
2015,"CO2",2,"TRA",467334.588263047,"kt"
2015,"CO2",3,"TRA",517406.15129123,"kt"
2015,"CO2",4,"TRA",500715.630281836,"kt"
2015,"CO2",5,"TRA",517406.15129123,"kt"
2015,"CO2",6,"TRA",500715.630281836,"kt"
2015,"CO2",7,"TRA",517406.15129123,"kt"
2015,"CO2",8,"TRA",517406.15129123,"kt"
2015,"CO2",9,"TRA",500715.630281836,"kt"
2015,"CO2",10,"TRA",517406.15129123,"kt"
2015,"CO2",11,"TRA",500715.630281836,"kt"
2015,"CO2",12,"TRA",517406.15129123,"kt"
2015,"CO2",1,"RCO",391699.005001956,"kt"
2015,"CO2",2,"RCO",316537.25575281,"kt"
2015,"CO2",3,"RCO",305590.70394231,"kt"
2015,"CO2",4,"RCO",240169.080167504,"kt"
2015,"CO2",5,"RCO",231515.938809244,"kt"
2015,"CO2",6,"RCO",221401.731843138,"kt"
2015,"CO2",7,"RCO",231325.940253051,"kt"
2015,"CO2",8,"RCO",230623.490462755,"kt"
2015,"CO2",9,"RCO",221260.530119982,"kt"
2015,"CO2",10,"RCO",243199.49145752,"kt"
2015,"CO2",11,"RCO",282104.780019855,"kt"
2015,"CO2",12,"RCO",374488.050652875,"kt"
2015,"CO2",1,"SLV",4294.91575403288,"kt"
2015,"CO2",2,"SLV",3879.27874557808,"kt"
2015,"CO2",3,"SLV",4294.91575403288,"kt"
2015,"CO2",4,"SLV",4156.37008454795,"kt"
2015,"CO2",5,"SLV",4294.91575403288,"kt"
2015,"CO2",6,"SLV",4156.37008454795,"kt"
2015,"CO2",7,"SLV",4294.91575403288,"kt"
2015,"CO2",8,"SLV",4294.91575403288,"kt"
2015,"CO2",9,"SLV",4156.37008454795,"kt"
2015,"CO2",10,"SLV",4294.91575403288,"kt"
2015,"CO2",11,"SLV",4156.37008454795,"kt"
2015,"CO2",12,"SLV",4294.91575403288,"kt"
2015,"CO2",1,"WST",11077.4394159562,"kt"
2015,"CO2",2,"WST",10005.4291498959,"kt"
2015,"CO2",3,"WST",11077.4394159562,"kt"
2015,"CO2",4,"WST",10720.1026606027,"kt"
2015,"CO2",5,"WST",11077.4394159562,"kt"
2015,"CO2",6,"WST",10720.1026606027,"kt"
2015,"CO2",7,"WST",11077.4394159562,"kt"
2015,"CO2",8,"WST",11077.4394159562,"kt"
2015,"CO2",9,"WST",10720.1026606027,"kt"
2015,"CO2",10,"WST",11077.4394159562,"kt"
2015,"CO2",11,"WST",10720.1026606027,"kt"
2015,"CO2",12,"WST",11077.4394159562,"kt"
2015,"CO2",1,"SHP",80514.9942350227,"kt"
2015,"CO2",2,"SHP",69106.7813707243,"kt"
2015,"CO2",3,"SHP",84247.1217119527,"kt"
2015,"CO2",4,"SHP",80824.0365461567,"kt"
2015,"CO2",5,"SHP",84934.6138479055,"kt"
2015,"CO2",6,"SHP",79023.7793096553,"kt"
2015,"CO2",7,"SHP",87370.9862868608,"kt"
2015,"CO2",8,"SHP",88543.9013730949,"kt"
2015,"CO2",9,"SHP",84265.1956282594,"kt"
2015,"CO2",10,"SHP",90553.5741996065,"kt"
2015,"CO2",11,"SHP",88209.7659573592,"kt"
2015,"CO2",12,"SHP",89251.3390743322,"kt"
2015,"CO2",1,"NEGCO2",0,"kt"
2015,"CO2",2,"NEGCO2",0,"kt"
2015,"CO2",3,"NEGCO2",0,"kt"
2015,"CO2",4,"NEGCO2",0,"kt"
2015,"CO2",5,"NEGCO2",0,"kt"
2015,"CO2",6,"NEGCO2",0,"kt"
2015,"CO2",7,"NEGCO2",0,"kt"
2015,"CO2",8,"NEGCO2",0,"kt"
2015,"CO2",9,"NEGCO2",0,"kt"
2015,"CO2",10,"NEGCO2",0,"kt"
2015,"CO2",11,"NEGCO2",0,"kt"
2015,"CO2",12,"NEGCO2",0,"kt"
2020,"CO2",1,"AGR",0,"kt"
2020,"CO2",2,"AGR",0,"kt"
2020,"CO2",3,"AGR",0,"kt"
2020,"CO2",4,"AGR",0,"kt"
2020,"CO2",5,"AGR",0,"kt"
2020,"CO2",6,"AGR",0,"kt"
2020,"CO2",7,"AGR",0,"kt"
2020,"CO2",8,"AGR",0,"kt"
2020,"CO2",9,"AGR",0,"kt"
2020,"CO2",10,"AGR",0,"kt"
2020,"CO2",11,"AGR",0,"kt"
2020,"CO2",12,"AGR",0,"kt"
2020,"CO2",1,"ENE",1363277.02617788,"kt"
2020,"CO2",2,"ENE",1194464.80841468,"kt"
2020,"CO2",3,"ENE",1296216.38106336,"kt"
2020,"CO2",4,"ENE",1232474.34924599,"kt"
2020,"CO2",5,"ENE",1268873.5902993,"kt"
2020,"CO2",6,"ENE",1235134.15292707,"kt"
2020,"CO2",7,"ENE",1290027.86769555,"kt"
2020,"CO2",8,"ENE",1286072.54873254,"kt"
2020,"CO2",9,"ENE",1223914.8090091,"kt"
2020,"CO2",10,"ENE",1274215.04644858,"kt"
2020,"CO2",11,"ENE",1253779.02331946,"kt"
2020,"CO2",12,"ENE",1347479.00251444,"kt"
2020,"CO2",1,"IND",907287.129039041,"kt"
2020,"CO2",2,"IND",822624.92689031,"kt"
2020,"CO2",3,"IND",861759.319958649,"kt"
2020,"CO2",4,"IND",840688.72810559,"kt"
2020,"CO2",5,"IND",802158.063526137,"kt"
2020,"CO2",6,"IND",759298.483837535,"kt"
2020,"CO2",7,"IND",760106.437320975,"kt"
2020,"CO2",8,"IND",784608.433298786,"kt"
2020,"CO2",9,"IND",752570.387949993,"kt"
2020,"CO2",10,"IND",826660.059503948,"kt"
2020,"CO2",11,"IND",837324.680161819,"kt"
2020,"CO2",12,"IND",910763.311914271,"kt"
2020,"CO2",1,"TRA",579393.992909623,"kt"
2020,"CO2",2,"TRA",523323.606499015,"kt"
2020,"CO2",3,"TRA",579393.992909623,"kt"
2020,"CO2",4,"TRA",560703.864106087,"kt"
2020,"CO2",5,"TRA",579393.992909623,"kt"
2020,"CO2",6,"TRA",560703.864106087,"kt"
2020,"CO2",7,"TRA",579393.992909623,"kt"
2020,"CO2",8,"TRA",579393.992909623,"kt"
2020,"CO2",9,"TRA",560703.864106087,"kt"
2020,"CO2",10,"TRA",579393.992909623,"kt"
2020,"CO2",11,"TRA",560703.864106087,"kt"
2020,"CO2",12,"TRA",579393.992909623,"kt"
2020,"CO2",1,"RCO",386182.497576409,"kt"
2020,"CO2",2,"RCO",311886.018823307,"kt"
2020,"CO2",3,"RCO",301067.309240281,"kt"
2020,"CO2",4,"RCO",235926.60137555,"kt"
2020,"CO2",5,"RCO",226897.263484335,"kt"
2020,"CO2",6,"RCO",217019.682649485,"kt"
2020,"CO2",7,"RCO",226822.112624679,"kt"
2020,"CO2",8,"RCO",226013.646826816,"kt"
2020,"CO2",9,"RCO",216792.706349894,"kt"
2020,"CO2",10,"RCO",238737.079996992,"kt"
2020,"CO2",11,"RCO",277541.875160755,"kt"
2020,"CO2",12,"RCO",369031.056786142,"kt"
2020,"CO2",1,"SLV",4294.66965365459,"kt"
2020,"CO2",2,"SLV",3879.05646136543,"kt"
2020,"CO2",3,"SLV",4294.66965365459,"kt"
2020,"CO2",4,"SLV",4156.13192289153,"kt"
2020,"CO2",5,"SLV",4294.66965365459,"kt"
2020,"CO2",6,"SLV",4156.13192289153,"kt"
2020,"CO2",7,"SLV",4294.66965365459,"kt"
